593.5,263.0,593.5,299.5
464.5,18.564516,464.5,115.5
592.5,88.5,593.0,140.0
801.0,88.5,801.0,140.5
282.0,454.5,332.5,454.5
332.5,454.5,332.5,500.0
334.0,712.0,334.0,758.5
135.50283,376.50282,326.50861,375.50263
326.50861,375.50263,326.50861,347.49708
8.9372643,443.01946,8.9372643,456.10654
8.9372643,456.10654,122.02434,456.10654
846.45161,264.35023,846.45161,299.15207
9.0000494,388.50372,9.284307,376.81255
9.284307,376.81255,73.242259,376.60378
592.0,28.5,592.0,14.0
329.5,33.0,329.5,55.0
847.5,13.5,847.5,27.5
328.5,263.5,328.5,292.0
327.5,263.0,327.5,294.0
